Latitude,Longitude,predicted_prob,cell_id,Location
47.67635444232155,-122.36648558785448,0.5676025937410528,462,Grid cell 462 (prob: 0.57)
47.68084958066069,-122.36661823516775,0.5350865153138584,464,Grid cell 464 (prob: 0.54)
47.68534471797213,-122.3667509054261,0.5254602564548518,466,Grid cell 466 (prob: 0.53)
47.68057907347023,-122.38658717086335,0.5206965055860237,467,Grid cell 467 (prob: 0.52)
47.685074187036456,-122.38672156777581,0.5473801372336381,469,Grid cell 469 (prob: 0.55)
47.68956929954517,-122.38685598793782,0.5040113563920617,471,Grid cell 471 (prob: 0.50)
47.68992926138955,-122.36022608948457,0.5039268396203732,480,Grid cell 480 (prob: 0.50)
47.68983985422847,-122.36688359863557,0.5744012286154855,481,Grid cell 481 (prob: 0.57)
47.703235436712525,-122.37394102979,0.5541449049753,497,Grid cell 497 (prob: 0.55)
47.70341468710593,-122.36062257929329,0.714458805340588,499,Grid cell 499 (prob: 0.71)
47.51548179293353,-122.28835072376808,0.5111015895373127,529,Grid cell 529 (prob: 0.51)
47.51574116229053,-122.26883164735642,0.5557413477597098,538,Grid cell 538 (prob: 0.56)
47.52006789712215,-122.28222742456342,0.507858980488558,542,Grid cell 542 (prob: 0.51)
47.52456314584187,-122.28235240817298,0.5610114765143169,544,Grid cell 544 (prob: 0.56)
47.52905839449899,-122.28247741333749,0.5556487291306151,546,Grid cell 546 (prob: 0.56)
47.53346877491815,-122.28924010380904,0.544395151802284,547,Grid cell 547 (prob: 0.54)
47.53355364306624,-122.28260244006245,0.8711417822585037,548,Grid cell 548 (prob: 0.87)
47.52023642584615,-122.26895546547468,0.6861502314624489,552,Grid cell 552 (prob: 0.69)
47.52464761143236,-122.27571586728808,0.6711853531322088,554,Grid cell 554 (prob: 0.67)
47.53372221620108,-122.26932704796458,0.5840995053468778,557,Grid cell 557 (prob: 0.58)
47.53821747945788,-122.26945095152465,0.5019947650502697,560,Grid cell 560 (prob: 0.50)
47.53338351905218,-122.29587774588919,0.5145862635059807,565,Grid cell 565 (prob: 0.51)
47.54228832730229,-122.30276891876296,0.5061656411140573,571,Grid cell 571 (prob: 0.51)
47.54237398592567,-122.29613015365747,0.7397038219018277,572,Grid cell 572 (prob: 0.74)
